year,brand,model_name,price,distance_travelled(kms),fuel_type,city
2016,Honda,Brio,425000,9680,Petrol,Mumbai
2012,Nissan,Sunny,325000,119120,Diesel,Mumbai
2017,Toyota,Fortuner,2650000,64593,Diesel,Thane
2017,Mercedes-Benz,E-Class,4195000,25000,Diesel,Mumbai
2012,Hyundai,Verna,475000,23800,Diesel,Mumbai
2012,Hyundai,i20,335000,45000,Petrol,Mumbai
2019,Toyota,Glanza,750000,19500,Petrol,Mumbai
2018,Mercedes-Benz,GLE,5500000,32000,Diesel,Mumbai
2017,Hyundai,Grand,565000,44329,Petrol,Mumbai
2015,Maruti Suzuki,Swift,510000,48286,Petrol,Mumbai
2015,Hyundai,Xcent,465000,24935,Petrol,Mumbai
2016,Toyota,Innova,1485000,59758,Diesel,Mumbai
2017,Maruti Suzuki,Baleno,610000,40119,Petrol,Mumbai
2016,Renault,Pulse,365000,22625,Petrol,Mumbai
2017,Maruti Suzuki,Baleno,699000,16540,Petrol,Mumbai
2016,Hyundai,Xcent,595000,41280,Petrol,Mumbai
2016,Toyota,Corolla,1035000,97679,Petrol,Mumbai
2015,Maruti Suzuki,Swift,575000,43000,Diesel,Mumbai
2015,Volkswagen,Polo,480000,14846,Petrol,Mumbai
2017,Honda,WR-V,749000,28771,Petrol,Mumbai
2018,Honda,WR-V,749000,33443,Petrol,Mumbai
2010,Maruti Suzuki,Ritz,265000,24000,Petrol,Mumbai
2013,Hyundai,Grand,340000,44380,Petrol,Mumbai
2016,Skoda,Rapid,675000,58000,Diesel,Mumbai
2016,Honda,City,685000,69380,Diesel,Mumbai
2016,Maruti Suzuki,Celerio,445000,39500,Petrol,Mumbai
2012,BMW,3,925000,74460,Diesel,Mumbai
2017,Mercedes-Benz,GLE,4550000,42442,Diesel,Mumbai
2014,Volkswagen,Vento,485000,65327,Petrol,Mumbai
2016,Honda,Jazz,635000,19768,Petrol,Mumbai
2016,Tata,Nano,215000,2814,Petrol,Mumbai
2015,Hyundai,Grand,445000,20100,Petrol,Mumbai
2015,Mercedes-Benz,GLA,1950000,52717,Diesel,Mumbai
2015,Hyundai,Grand,445000,20100,Petrol,Mumbai
2012,Maruti Suzuki,A-Star,275000,46646,Petrol,Mumbai
2014,Audi,Q5,1875000,49000,Diesel,Mumbai
2018,Mercedes-Benz,GLE,5500000,32000,Diesel,Mumbai
2020,BMW,X1,3500000,5550,Petrol,Mumbai
2010,BMW,Z4,2900000,48000,Petrol,Mumbai
2016,Audi,A3,1525000,31000,Diesel,Mumbai
2012,Audi,A4,975000,61000,Petrol,Mumbai
2014,BMW,X3,2350000,65000,Diesel,Mumbai
2010,Bentley,Continental,7600000,49000,Petrol,Mumbai
2014,Audi,Q3,1470000,78000,Diesel,Mumbai
2010,Audi,Q7,1550000,82000,Diesel,Mumbai
2017,Mercedes-Benz,GLA,2350000,24000,Petrol,Mumbai
2013,Mercedes-Benz,E-Class,3850000,6000,Petrol,Mumbai
2016,Mercedes-Benz,GLA,2000000,33000,Petrol,Mumbai
2014,Audi,Q7,2250000,107000,Diesel,Mumbai
2015,BMW,3,2125000,71000,Diesel,Mumbai
2015,Mercedes-Benz,E-Class,1900000,94000,Diesel,Mumbai
2012,Mercedes-Benz,E-Class,1250000,55000,Petrol,Mumbai
2013,Audi,A4,1150000,79000,Diesel,Mumbai
2014,Audi,A6,1550000,71000,Diesel,Mumbai
2012,Mercedes-Benz,E-Class,1125000,65000,Petrol,Mumbai
2018,Mercedes-Benz,E-Class,4250000,34000,Petrol,Mumbai
2013,Audi,Q7,2175000,80000,Diesel,Mumbai
2010,Mercedes-Benz,E-Class,975000,67000,Petrol,Mumbai
2009,BMW,7,1850000,27000,Petrol,Mumbai
2014,Audi,A6,1650000,76000,Diesel,Mumbai
2018,Ford,Endeavour,2900000,11100,Diesel,Thane
2006,Maruti Suzuki,Swift,175000,79915,Petrol,Thane
2013,Maruti Suzuki,Swift,449000,67664,Diesel,Mumbai
2016,Mahindra,XUV500,1275000,72000,Diesel,Mumbai
2018,BMW,X1,2500000,33500,Diesel,Dehradun
2016,BMW,Z4,4850000,26700,Petrol,Dehradun
2017,Jaguar,F-Pace,3700000,45700,Diesel,Dehradun
2018,Jaguar,XE,3500000,23500,Diesel,Dehradun
2012,Lamborghini,Gallardo,12500000,14500,Petrol,Dehradun
2020,MINI,Countryman,3850000,6517,Petrol,Dehradun
2014,Mercedes-Benz,C-Class,2700000,22000,Petrol,Dehradun
2017,Mercedes-Benz,C-Class,2900000,44000,Diesel,Dehradun
2018,Audi,A6,3750000,22000,Diesel,Dehradun
2015,BMW,7,3700000,66000,Diesel,Dehradun
2015,BMW,7,3700000,48000,Diesel,Dehradun
2013,BMW,7,2900000,59000,Diesel,Dehradun
2012,Land Rover,Evoque,1900000,127000,Diesel,Dehradun
2018,Land Rover,Evoque,4900000,19500,Diesel,Dehradun
2018,Land Rover,Evoque,4800000,29500,Diesel,Dehradun
2016,Mercedes-Benz,S-Class,5700000,56500,Diesel,Dehradun
2015,Renault,Lodgy,565000,85400,Diesel,Mumbai
2013,Honda,City,418000,98602,Petrol,Mumbai
2016,Mercedes-Benz,CLA,2150000,28000,Petrol,Mumbai
2021,Hyundai,Creta,2095000,7500,Diesel,Mumbai
2016,Jaguar,F-Pace,3750000,33000,Diesel,Mumbai
2021,Hyundai,Creta,2050000,4500,Petrol,Mumbai
2015,BMW,3,1825000,65000,Diesel,Mumbai
2008,Audi,Q7,850000,84500,Diesel,Mumbai
2011,Mercedes-Benz,S-Class,1650000,55000,Diesel,Mumbai
2012,Audi,Q5,1350000,99000,Diesel,Mumbai
2012,Audi,A8,2750000,25000,Diesel,Mumbai
